name,album,num in album,is Explicit,num of words,duration in sec,path,num of obscenities
"Tim McGraw",Debut,1,false,366,232,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut1.txt,0
"Picture to Burn",Debut,2,false,291,173,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut2.txt,0
"Teardrops On My Guitar",Debut,3,false,288,203,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut3.txt,0
"A Place In This World",Debut,4,false,232,199,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut4.txt,0
"Cold as You",Debut,5,false,247,239,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut5.txt,1
"The Outside",Debut,6,false,234,207,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut6.txt,0
"Tied Together with a Smile",Debut,7,false,254,248,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut7.txt,0
"Stay Beautiful",Debut,8,false,261,238,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut8.txt,0
"Should’ve Said No",Debut,9,false,352,242,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut9.txt,0
"Mary’s Song (Oh My My My)",Debut,10,false,331,213,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut10.txt,0
"Our Song",Debut,11,false,371,201,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut11.txt,0
"I’m Only Me When I’m With You",Debut,12,false,304,213,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut12.txt,0
"Invisible",Debut,13,false,250,203,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut13.txt,0
"A Perfectly Good Heart",Debut,14,false,232,220,C:\Users\Ariel\Desktop\ProjectTaylor\Debut\Debut14.txt,0
"Fearless",Fearless,1,false,316,241,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless1.txt,0
"Fifteen",Fearless,2,false,385,294,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless2.txt,0
"Love Story",Fearless,3,false,378,235,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless3.txt,0
"Hey Stephen",Fearless,4,false,408,254,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless4.txt,0
"White Horse",Fearless,5,false,304,234,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless5.txt,0
"You Belong With Me",Fearless,6,false,396,231,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless6.txt,0
"Breathe",Fearless,7,false,364,263,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless7.txt,0
"Tell Me Why",Fearless,8,false,348,200,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless8.txt,0
"You’re Not Sorry",Fearless,9,false,312,261,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless9.txt,0
"The Way I Loved You",Fearless,10,false,339,243,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless10.txt,0
"Forever & Always",Fearless,11,false,405,225,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless11.txt,0
"The Best Day",Fearless,12,false,348,245,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless12.txt,0
"Change",Fearless,13,false,270,279,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless13.txt,0
"Jump Then Fall",Fearless,14,false,382,237,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless14.txt,0
"Untouchable",Fearless,15,false,408,312,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless15.txt,0
"Come In With The Rain",Fearless,16,false,229,237,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless16.txt,0
"Superstar",Fearless,17,false,270,263,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless17.txt,0
"The Other Side of the Door",Fearless,18,false,373,238,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless18.txt,0
"Today Was a Fairytale",Fearless,19,false,344,241,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless19.txt,0
"You All Over Me ft. Maren Morris",Fearless,20,false,324,220,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless20.txt,0
"Mr. Perfectly Fine",Fearless,21,false,412,277,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless21.txt,0
"We Were Happy",Fearless,22,false,248,244,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless22.txt,0
"That’s When ft. Keith Urban",Fearless,23,false,342,189,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless23.txt,0
"Don’t You",Fearless,24,false,242,208,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless24.txt,0
"Bye Bye Baby",Fearless,25,false,343,242,C:\Users\Ariel\Desktop\ProjectTaylor\Fearless\Fearless25.txt,0
"Mine",Speak Now,1,false,401,231,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow1.txt,0
"Sparks Fly",Speak Now,2,false,349,261,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow2.txt,0
"Back To December",Speak Now,3,false,424,294,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow3.txt,0
"Speak Now",Speak Now,4,false,432,242,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow4.txt,0
"Dear John",Speak Now,5,false,376,405,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow5.txt,0
"Mean",Speak Now,6,false,405,238,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow6.txt,0
"The Story Of Us",Speak Now,7,false,451,267,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow7.txt,0
"Never Grow Up",Speak Now,8,false,444,292,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow8.txt,0
"Enchanted",Speak Now,9,false,389,353,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow9.txt,0
"Better Than Revenge",Speak Now,10,false,532,220,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow10.txt,0
"Innocent",Speak Now,11,false,317,301,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow11.txt,0
"Haunted",Speak Now,12,false,322,245,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow12.txt,0
"Last Kiss",Speak Now,13,false,406,369,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow13.txt,0
"Long Live",Speak Now,14,false,441,317,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow14.txt,0
"Ours",Speak Now,15,false,297,235,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow15.txt,0
"Superman",Speak Now,16,false,377,274,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow16.txt,0
"Electric Touch ft. Fall Out Boy",Speak Now,17,false,359,266,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow17.txt,0
"When Emma Falls in Love",Speak Now,18,false,382,252,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow18.txt,0
"I Can See You",Speak Now,19,false,410,273,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow19.txt,0
"Castles Crumbling ft. Hayley Williams",Speak Now,20,false,353,306,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow20.txt,0
"Foolish One",Speak Now,21,false,461,311,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow21.txt,0
"Timeless",Speak Now,22,false,525,321,C:\Users\Ariel\Desktop\ProjectTaylor\SpeakNow\SpeakNow22.txt,0
"State of Grace",Red,1,false,268,295,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red1.txt,0
"Red",Red,2,false,325,223,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red2.txt,0
"Treacherous",Red,3,false,260,242,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red3.txt,0
"I Knew You Were Trouble",Red,4,false,402,219,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red4.txt,0
"All Too Well",Red,5,false,465,329,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red5.txt,0
"22",Red,6,false,407,230,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red6.txt,0
"I Almost Do",Red,7,false,276,244,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red7.txt,0
"We Are Never Ever Getting Back Together",Red,8,false,378,193,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red8.txt,0
"Stay Stay Stay",Red,9,false,330,205,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red9.txt,0
"The Last Time",Red,10,false,450,299,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red10.txt,0
"Holy Ground",Red,11,false,280,202,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red11.txt,0
"Sad Beautiful Tragic",Red,12,false,188,284,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red12.txt,0
"The Lucky One",Red,13,false,338,240,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red13.txt,0
"Everything Has Changed ft. Ed Sheeran",Red,14,false,478,245,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red14.txt,0
"Starlight",Red,15,false,340,220,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red15.txt,0
"Begin Again",Red,16,false,336,238,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red16.txt,0
"The Moment I Knew",Red,17,false,342,285,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red17.txt,0
"Come Back...Be Here",Red,18,false,323,223,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red18.txt,0
"Girl At Home",Red,19,false,395,220,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red19.txt,0
